iter	RMSE
0	28.19362075
1	28.14165762
2	28.08236556
3	28.06520267
4	28.00401247
5	27.98496965
6	27.95236402
7	27.92314526
8	27.87760785
9	27.83392306
10	27.803267
11	27.75453872
12	27.72660149
13	27.69099859
14	27.64696972
15	27.59074657
16	27.52473882
17	27.49528234
18	27.43291895
19	27.39248674
20	27.34977435
21	27.32276236
22	27.28379961
23	27.23730526
24	27.19115309
25	27.13832451
26	27.0857071
27	27.06149554
28	27.03310371
29	27.0146336
30	26.97605866
31	26.92477492
32	26.88469191
33	26.83837408
34	26.80192834
35	26.74987627
36	26.69397784
37	26.65358529
38	26.6044319
39	26.55206583
40	26.50830969
41	26.48442092
42	26.44847976
43	26.4074421
44	26.36322778
45	26.30953643
46	26.2686614
47	26.23118756
48	26.19801145
49	26.16228016
