iter	Passed	Remaining
0	137	6726
1	189	4536
2	198	3106
3	207	2386
4	216	1951
5	222	1629
6	269	1657
7	272	1428
8	274	1249
9	276	1106
10	278	986
11	280	886
12	281	802
13	286	736
14	291	681
15	298	633
16	300	583
17	302	537
18	304	496
19	305	457
20	306	423
21	307	391
22	309	362
23	310	336
24	311	311
25	312	288
26	313	267
27	315	247
28	316	229
29	318	212
30	319	195
31	320	180
32	322	165
33	323	152
34	324	139
35	325	126
36	326	114
37	328	103
38	329	92
39	330	82
40	331	72
41	333	63
42	334	54
43	335	45
44	337	37
45	338	29
46	339	21
47	340	14
48	341	6
49	342	0
