Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,26,Sports,Nintendo,398,303,199,154,447
2,Super Mario Bros.,NES,5,Platform,Nintendo,397,259,220,77,446
3,Mario Kart Wii,Wii,28,Racing,Nintendo,394,302,200,151,445
4,Wii Sports Resort,Wii,29,Sports,Nintendo,393,301,192,150,444
5,Pokemon Red/Pokemon Blue,GB,16,Role-Playing,Nintendo,387,295,222,95,443
6,Tetris,GB,9,Puzzle,Nintendo,395,207,208,58,442
7,New Super Mario Bros.,DS,26,Platform,Nintendo,388,297,219,148,441
8,Wii Play,Wii,26,Misc,Nintendo,390,296,183,147,440
9,New Super Mario Bros. Wii,Wii,29,Platform,Nintendo,391,291,212,142,439
10,Duck Hunt,NES,4,Shooter,Nintendo,396,62,27,47,438
11,Nintendogs,DS,25,Simulation,Nintendo,379,300,145,146,437
12,Mario Kart DS,DS,25,Racing,Nintendo,385,292,205,135,436
13,Pokemon Gold/Pokemon Silver,GB,19,Role-Playing,Nintendo,377,288,221,71,435
14,Wii Fit,Wii,27,Sports,Nintendo,376,293,195,141,434
15,Wii Fit Plus,Wii,29,Sports,Nintendo,380,294,171,132,433
16,Kinect Adventures!,X360,30,Misc,Microsoft Game Studios,392,277,23,126,432
17,Grand Theft Auto V,PS3,33,Action,Take-Two Interactive,369,299,89,152,431
18,Grand Theft Auto: San Andreas,PS2,24,Action,Take-Two Interactive,381,39,39,155,430
19,Super Mario World,SNES,10,Platform,Nintendo,389,263,194,55,429
20,Brain Age: Train Your Brain in Minutes a Day,DS,25,Misc,Nintendo,336,298,206,139,428
21,Pokemon Diamond/Pokemon Pearl,DS,26,Role-Playing,Nintendo,360,275,218,117,427
22,Super Mario Land,GB,9,Platform,Nintendo,386,230,207,42,426
23,Super Mario Bros. 3,NES,8,Platform,Nintendo,382,255,202,46,425
24,Grand Theft Auto V,X360,33,Action,Take-Two Interactive,383,281,6,118,424
25,Grand Theft Auto: Vice City,PS2,22,Action,Take-Two Interactive,374,283,44,131,423
26,Pokemon Ruby/Pokemon Sapphire,GBA,22,Role-Playing,Nintendo,358,266,216,50,422
27,Pokemon Black/Pokemon White,DS,30,Role-Playing,Nintendo,348,249,217,81,421
28,Brain Age 2: More Training in Minutes a Day,DS,25,Puzzle,Nintendo,294,282,214,109,420
29,Gran Turismo 3: A-Spec,PS2,21,Racing,Sony Computer Entertainment,366,280,142,108,419
30,Call of Duty: Modern Warfare 3,X360,31,Shooter,Activision,378,269,13,115,418
31,Pokémon Yellow: Special Pikachu Edition,GB,18,Role-Playing,Nintendo,353,278,187,59,417
32,Call of Duty: Black Ops,X360,30,Shooter,Activision,384,262,11,106,417
33,Pokemon X/Pokemon Y,3DS,33,Role-Playing,Nintendo,344,268,209,79,416
34,Call of Duty: Black Ops 3,PS4,35,Shooter,Activision,350,284,33,143,415
35,Call of Duty: Black Ops II,PS3,32,Shooter,Activision,341,286,60,145,414
36,Call of Duty: Black Ops II,X360,32,Shooter,Activision,373,271,7,105,413
37,Call of Duty: Modern Warfare 2,X360,29,Shooter,Activision,375,260,8,113,412
38,Call of Duty: Modern Warfare 3,PS3,31,Shooter,Activision,346,285,46,124,411
39,Grand Theft Auto III,PS2,21,Action,Take-Two Interactive,368,274,29,114,410
40,Super Smash Bros. Brawl,Wii,28,Fighting,Nintendo,363,226,176,97,409
41,Call of Duty: Black Ops,PS3,30,Shooter,Activision,355,273,45,134,408
42,Animal Crossing: Wild World,DS,25,Simulation,Nintendo,237,257,215,87,407
43,Mario Kart 7,3DS,31,Racing,Nintendo,335,267,177,88,406
44,Halo 3,X360,27,Shooter,Microsoft Game Studios,372,236,13,110,405
45,Grand Theft Auto V,PS4,34,Action,Take-Two Interactive,308,284,34,138,404
46,Pokemon HeartGold/Pokemon SoulSilver,DS,29,Action,Nintendo,330,232,203,77,403
47,Super Mario 64,N64,16,Platform,Nintendo,367,237,144,23,402
48,Gran Turismo 4,PS2,24,Racing,Sony Computer Entertainment,270,1,100,153,401
49,Super Mario Galaxy,Wii,27,Platform,Nintendo,359,253,107,76,400
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,34,Role-Playing,Nintendo,326,252,186,65,399
51,Super Mario Land 2: 6 Golden Coins,GB,12,Adventure,Nintendo,359,192,179,29,398
52,Grand Theft Auto IV,X360,28,Action,Take-Two Interactive,364,245,14,98,397
53,Gran Turismo,PS,17,Racing,Sony Computer Entertainment,316,265,172,52,396
54,Super Mario 3D Land,3DS,31,Platform,Nintendo,339,241,156,78,395
55,Gran Turismo 5,PS3,30,Racing,Sony Computer Entertainment,266,276,75,140,394
56,Call of Duty: Modern Warfare 2,PS3,29,Shooter,Activision,341,261,36,125,393
57,Grand Theft Auto IV,PS3,28,Action,Take-Two Interactive,337,264,41,124,392
58,Super Mario All-Stars,SNES,13,Platform,Nintendo,356,200,155,29,391
59,Pokemon FireRed/Pokemon LeafGreen,GBA,24,Role-Playing,Nintendo,328,229,189,35,390
60,Super Mario 64,DS,24,Platform,Nintendo,343,246,109,93,389
61,Just Dance 3,Wii,31,Misc,Ubisoft,357,248,0,102,388
62,Call of Duty: Ghosts,X360,33,Shooter,Activision,362,227,4,81,387
63,Halo: Reach,X360,30,Shooter,Microsoft Game Studios,370,187,8,78,386
64,Mario Kart 64,N64,16,Racing,Nintendo,347,183,159,15,385
65,New Super Mario Bros. 2,3DS,32,Platform,Nintendo,302,244,169,63,384
66,Halo 4,X360,32,Shooter,Microsoft Game Studios,361,214,4,73,383
67,Final Fantasy VII,PS,17,Role-Playing,Sony Computer Entertainment,270,221,192,92,382
68,Call of Duty: Ghosts,PS3,33,Shooter,Activision,319,262,36,118,381
69,Just Dance 2,Wii,30,Misc,Ubisoft,352,239,1,78,380
