Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
30,Call of Duty: Modern Warfare 3,X360,31,Shooter,Activision,378,269,13,115,418
536,Professor Layton and the Last Specter,DS,29,Puzzle,Nintendo,25,143,62,34,102
697,God of War: Ascension,PS3,33,Action,Sony Computer Entertainment,113,67,4,34,53
558,Madden NFL 11,X360,30,Sports,Electronic Arts,222,12,0,18,92
838,Madden NFL 15,PS4,34,Sports,Electronic Arts,143,25,0,25,27
597,WWE SmackDown vs. RAW 2007,PS2,26,Fighting,THQ,130,87,3,26,81
166,Pokemon Stadium,N64,19,Strategy,Nintendo,279,123,86,9,294
920,High School Musical: Sing It!,PS2,27,Misc,Disney Interactive Studios,37,8,0,116,11
496,Sonic Mega Collection Plus,PS2,24,Misc,Sega,144,113,0,22,113
826,Pokémon Mystery Dungeon: Blue Rescue Team,DS,25,Role-Playing,Nintendo,106,6,77,0,29
66,Halo 4,X360,32,Shooter,Microsoft Game Studios,361,214,4,73,383
142,Gears of War,X360,26,Shooter,Microsoft Game Studios,298,179,7,60,315
927,Shrek 2,PS2,24,Platform,Activision,102,68,3,2,10
829,NBA Jam,GEN,12,Sports,Arena Entertainment,165,25,0,5,29
657,Dead Island,X360,31,Action,Deep Silver,138,70,0,20,63
332,The Witcher 3: Wild Hunt,PS4,35,Role-Playing,Namco Bandai Games,86,189,21,56,184
666,Madden NFL 08,X360,27,Sports,Electronic Arts,206,1,0,18,61
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,26,Sports,Konami Digital Entertainment,8,216,95,85,231
909,Star Wars Rogue Leader: Rogue Squadron II,GC,21,Simulation,LucasArts,93,74,3,9,14
710,Kirby: Nightmare in Dream Land,GBA,22,Platform,Nintendo,112,10,83,4,51
306,Donkey Kong Land,GB,14,Platform,Nintendo,186,75,97,11,198
736,Frogger,2600,1,Action,Parker Bros.,195,12,0,2,44
977,Professor Layton and the Mask of Miracle,3DS,31,Puzzle,Nintendo,27,94,34,14,2
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,34,Role-Playing,Nintendo,326,252,186,65,399
898,Monopoly,Wii,28,Misc,Electronic Arts,77,84,0,20,16
3,Mario Kart Wii,Wii,28,Racing,Nintendo,394,302,200,151,445
545,Missile Command,2600,0,Shooter,Atari,238,17,0,3,99
351,Resident Evil 4,PS2,25,Action,Capcom,197,82,43,25,174
906,Game Party 2,Wii,28,Misc,Midway Games,120,43,0,17,15
537,Monster Hunter Tri,3DS,31,Role-Playing,Nintendo,36,29,146,7,102
345,Gran Turismo 6,PS3,33,Racing,Sony Computer Entertainment,61,171,38,74,176
996,Tom Clancy's Ghost Recon,XB,22,Shooter,Ubisoft,113,45,0,7,0
482,Kirby Super Star Ultra,DS,28,Platform,Nintendo,147,4,106,15,119
576,LEGO Star Wars: The Complete Saga,X360,27,Action,LucasArts,143,86,0,24,87
34,Call of Duty: Black Ops 3,PS4,35,Shooter,Activision,350,284,33,143,415
32,Call of Duty: Black Ops,X360,30,Shooter,Activision,384,262,11,106,417
232,The Legend of Zelda: A Link to the Past,SNES,11,Action,Nintendo,226,90,104,13,245
965,Sonic Advance 2,GBA,22,Platform,Sega,83,58,21,7,4
193,Fable III,X360,30,Role-Playing,Microsoft Game Studios,299,110,5,38,275
334,Spyro: Year of the Dragon,PS,20,Platform,Sony Computer Entertainment,182,153,0,19,182
4,Wii Sports Resort,Wii,29,Sports,Nintendo,393,301,192,150,444
205,Warzone 2100,PS,19,Strategy,Eidos Interactive,256,178,0,33,268
515,Assassin's Creed: Brotherhood,PS3,30,Action,Ubisoft,176,56,11,30,107
801,World of Warcraft: Cataclysm,PC,30,Role-Playing,Activision,167,32,0,0,32
307,Tony Hawk's Underground,PS2,23,Sports,Activision,215,116,1,42,197
110,Fallout 4,PS4,35,Role-Playing,Bethesda Softworks,229,248,23,104,343
431,Fallout: New Vegas,PS3,30,Role-Playing,Bethesda Softworks,142,107,10,47,137
78,FIFA 16,PS4,35,Sports,Electronic Arts,101,287,6,112,371
85,GoldenEye 007,N64,17,Shooter,Nintendo,351,190,13,15,366
287,Carnival Games,Wii,27,Misc,Take-Two Interactive,202,145,5,42,211
83,FIFA Soccer 13,PS3,32,Action,Electronic Arts,96,279,13,137,368
993,Sonic the Hedgehog 3,GEN,14,Platform,Sega,92,46,20,7,0
791,Portal 2,X360,31,Shooter,Valve Software,131,50,1,17,34
896,The Legend of Zelda: Oracle of Ages,GB,21,Action,Nintendo,82,52,39,6,16
399,The Legend of Zelda: Majora's Mask,N64,20,Action,Nintendo,179,66,67,6,152
324,Mario & Sonic at the London 2012 Olympic Games,Wii,31,Sports,Sega,104,180,26,46,187
520,Metroid Prime,GC,22,Shooter,Nintendo,185,66,10,9,105
918,Medal of Honor: European Assault (All Region sales),PS2,25,Shooter,Electronic Arts,79,68,9,21,12
924,Donkey Kong Country Returns,3DS,33,Platform,Nintendo,63,61,38,12,11
6,Tetris,GB,9,Puzzle,Nintendo,395,207,208,58,442
733,Assassin's Creed IV: Black Flag,XOne,33,Action,Ubisoft,137,54,0,19,45
466,Mike Tyson's Punch-Out!!,NES,7,Fighting,Nintendo,192,46,42,7,124
98,Super Smash Bros. for Wii U and 3DS,3DS,34,Fighting,Nintendo,284,133,166,43,354
267,Daxter,PSP,26,Platform,Sony Computer Entertainment,228,101,0,75,220
358,Star Wars: Battlefront II,PS2,25,Shooter,LucasArts,206,101,3,37,171
